fish-id,species
15,shark
24,shark
4,tuna
1,tuna
37,shark
77,manta-ray
68,shark
16,shark
2,tuna
75,shark
35,shark
11,tuna
13,shark
41,shark
52,shark
39,shark
45,shark
34,manta-ray
55,shark
10,tuna
64,manta-ray
9,shark
18,shark
48,shark
56,shark
0,tuna
33,shark
25,shark
58,manta-ray
79,shark
54,shark
28,manta-ray
8,manta-ray
49,shark
72,shark
65,shark
50,shark
74,shark
17,shark
67,manta-ray
6,shark
47,manta-ray
38,manta-ray
51,shark
12,tuna
53,manta-ray
3,shark
62,manta-ray
43,manta-ray
27,manta-ray
70,manta-ray
31,manta-ray
66,manta-ray
36,shark
42,shark
30,manta-ray
73,shark
69,manta-ray
76,manta-ray
19,shark
63,shark
29,shark
71,manta-ray
60,shark
80,shark
7,tuna
26,shark
59,shark
14,tuna
20,manta-ray
40,manta-ray
78,shark
5,tuna
57,manta-ray
44,manta-ray
46,shark
21,shark
23,manta-ray
32,manta-ray
61,manta-ray
22,manta-ray
